Unnamed: 0,is_vulnerable,appname,average_loc,average_ncloc,average_dit,average_nocc,average_cbo,average_wmc,average_ccn,average_hv
3661,0,Tuleap,69.0,69.0,2.0,0.0,2.0,7.0,1.0,73.23167864210572
3662,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3663,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3664,0,Tuleap,180.0,145.0,0.0,0.0,21.0,12.0,1.833333333333333,242.79889879686667
3665,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3666,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3667,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3668,0,Tuleap,182.4090909090909,152.0,1.5,0.045454545454545,5.863636363636363,19.272727272727277,1.4625557523284791,145.93404877245732
3669,0,Tuleap,105.0,87.5,0.5,0.0,7.5,11.5,2.006944444444444,147.682715787092
3670,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3671,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3672,0,Tuleap,303.5,259.0,0.0,0.0,5.0,48.0,3.136363636363636,507.8570994785524
3673,0,Tuleap,148.6,146.46666666666667,0.8,0.0,29.466666666666665,11.2,1.306338797814207,145.81108818310446
3674,0,Tuleap,84.0,51.0,0.0,0.0,2.0,11.0,2.2,121.4118651923174
3675,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3676,0,Tuleap,1076.0,925.0,2.0,0.0,8.0,163.0,11.916666666666666,2769.9611856217507
3677,0,Tuleap,53.142857142857146,45.0,1.142857142857142,0.0,8.428571428571429,4.0,1.523809523809523,192.6391002484129
3678,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3679,0,Tuleap,737.0,581.0,0.0,0.0,23.0,105.0,3.7037037037037033,532.9607134638144
3680,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3681,0,Tuleap,50.57142857142857,48.71428571428572,1.714285714285714,0.0,1.714285714285714,7.2857142857142865,2.367346938775509,198.79808663648092
3682,0,Tuleap,66.0,59.5,2.0,0.0,10.5,3.5,1.0,158.3103124239724
3683,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3684,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3685,0,Tuleap,69.0,60.0,0.0,0.0,2.0,11.0,1.222222222222222,52.93598505236801
3686,0,Tuleap,112.4,72.8,2.0,0.4,4.2,14.0,1.205882352941176,87.5771290539922
3687,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3688,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3689,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3690,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3691,0,Tuleap,193.11111111111111,171.0,0.8888888888888881,0.0,10.11111111111111,25.88888888888889,1.680117996280284,176.164754947671
3692,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3693,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3694,0,Tuleap,53.5,53.5,2.0,0.0,6.0,4.0,1.0,231.8282549992797
3695,0,Tuleap,,,,,,,,
3696,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3697,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3698,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3699,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3700,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3701,0,Tuleap,166.66666666666666,146.66666666666666,1.333333333333333,0.0,4.333333333333333,26.666666666666668,2.113131313131313,225.52295955473616
3702,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3703,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3704,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3705,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3706,0,Tuleap,358.0,212.0,0.0,0.0,8.0,59.0,1.481481481481481,94.974316792001
3707,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3708,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3709,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3710,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3711,0,Tuleap,67.0,67.0,2.0,0.0,3.0,10.0,1.428571428571428,111.86905603042942
3712,0,Tuleap,,,,,,,,
3713,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3714,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3715,0,Tuleap,57.85714285714285,49.85714285714285,0.5714285714285711,0.0,5.857142857142857,6.142857142857143,1.232683982683982,80.65274728368334
3716,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
