Unnamed: 0,is_vulnerable,days_after_creation,past_contributions,ratio_past_contributions,new_author,past_contributions_30_days,ratio_past_contributions_30_days,dmm_unit_size,dmm_unit_complex,dmm_unit_interf,fix,touched_files,past_authors,sum_added_lines,mean_added_lines,med_added_lines,sum_deleted_lines,mean_deleted_lines,med_deleted_lines,sum_hunks,mean_hunks,med_hunks,sum_previous_changes,mean_previous_changes,med_previous_changes,sum_days_since_creation,mean_days_since_creation,med_days_since_creation,nr_of_blacklisted,appname,average_loc,average_ncloc,average_dit,average_nocc,average_cbo,average_wmc,average_ccn,average_hv,author_info.public_repos,author_info.followers,author_info.following,author_info.public_gists,time_difference
3292,1,1067,7,0.0052083333,0,2,0.0769230769,0.0,0.0212765957,0.0212765957,0,1.0,24.0,69.0,69.0,69.0,1.0,1.0,1.0,2.0,2.0,2.0,297.0,297.0,297.0,2607.0,2607.0,2607.0,0.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.0,65.0,2.0,3.0,1908.0
3294,1,636,3,0.0027932961,0,3,1.0,0.1666666667,0.0,1.0,0,1.0,19.0,29.0,29.0,29.0,1.0,1.0,1.0,2.0,2.0,2.0,204.0,204.0,204.0,2176.0,2176.0,2176.0,0.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.0,15.0,1.0,13.0,2566.0
3297,0,2,167,0.423857868,0,37,0.5211267606000001,0.5277777778,0.8333333333,1.0,0,12.0,16.0,105.0,8.75,4.0,22.0,3.6666666667,1.0,17.0,1.4166666667,1.0,301.0,25.0833333333,29.0,5923.0,493.5833333333,328.0,1.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,19.0,1.0,0.0,1775.0
3307,0,596,524,0.4952741021,0,2,0.1666666667,0.1558441558,0.0,1.0,0,3.0,23.0,4.0,1.3333333333,1.0,4.0,1.3333333333,1.0,4.0,1.3333333333,1.0,437.0,145.6666666667,131.0,3305.0,1101.6666666667,585.0,1.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,19.0,1.0,0.0,2369.0
3310,0,-1908,14,0.4242424242,0,14,1.0,0.0,0.0,0.0,0,1.0,4.0,49.0,49.0,49.0,45.0,45.0,45.0,2.0,2.0,2.0,14.0,14.0,14.0,327.0,327.0,327.0,0.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,129.0,697.0,155.0,14.0,1142.0
3325,0,-3,145,0.4016620499,0,15,0.3947368421,1.0,0.0,0.0,1,3.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,43.0,14.3333333333,13.0,1767.0,589.0,313.0,0.0,PrivateBin,598.5,494.5,1.0,0.0,3.0,41.0,1.921511627906976,316.53340356473376,8.0,19.0,1.0,0.0,1770.0
3337,1,401,3337,0.3696278245,0,319,0.4412171508,0.7506738544,0.9407008086,0.9164420485,1,5.0,11.0,1587.0,317.4,2.0,881.0,220.25,1.5,25.0,8.3333333333,2.0,949.0,189.8,154.0,1946.0,389.2,394.0,2.0,Sulu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,112.0,46.0,2.0,6.0,1005.0
3340,0,2980,567,0.031938264,0,41,0.6833333333,0.4482758621,1.0,1.0,0,1.0,6.0,17.0,17.0,17.0,1.0,1.0,1.0,2.0,2.0,2.0,19.0,19.0,19.0,2563.0,2563.0,2563.0,0.0,Sulu,278.5,246.5,1.0,0.0,8.0,17.0,1.928571428571428,310.9413041542604,335.0,167.0,103.0,64.0,3514.0
3341,1,2086,1,6.20771e-05,0,1,0.0416666667,0.5748898678000001,0.9603524229,0.9955947137,1,15.0,36.0,381.0,25.4,4.0,59.0,8.4285714286,2.0,28.0,1.8666666667,1.0,624.0,48.0,35.0,17746.0,1365.0769230769,1669.0,7.0,Sulu,285.7142857142857,206.14285714285717,2.1428571428571432,0.142857142857142,8.714285714285714,22.571428571428573,2.18344671201814,334.2136143867513,13.0,1.0,1.0,0.0,135.0
3342,0,2971,137,0.0077278881,0,4,0.0869565217,1.0,1.0,0.7894736842000001,0,2.0,3.0,45.0,22.5,22.5,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,2047.0,2047.0,2047.0,0.0,Sulu,43.333333333333336,40.333333333333336,0.6666666666666661,0.0,4.666666666666667,4.333333333333333,1.333333333333333,144.77269241392457,112.0,46.0,2.0,6.0,3575.0
3343,1,2356,2,0.0001210287,0,2,0.0338983051,1.0,1.0,1.0,1,1.0,2.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1432.0,1432.0,1432.0,0.0,Sulu,39.0,36.0,1.0,0.0,4.5,3.5,1.5,188.12945693403043,2.0,0.0,0.0,0.0,1121.0
3345,1,3170,686,0.0382663022,0,21,0.875,0.9467312349,0.9225181598,1.0,1,53.0,56.0,1387.0,26.6730769231,20.5,120.0,7.0588235294,1.0,84.0,1.5849056604,1.0,1365.0,47.0689655172,20.0,61174.0,2109.4482758621,1802.0,21.0,Sulu,106.08,83.6,1.04,0.0,5.68,8.0,1.628227106227106,190.5752523508931,335.0,167.0,103.0,64.0,3704.0
3346,1,640,428,0.0363543702,0,86,0.206235012,0.0,0.6898016997,0.2181303116,0,932.0,35.0,7975.0,8.5568669528,4.0,6255.0,7.0838052095,3.0,2816.0,3.0214592275,2.0,10799.0,11.5869098712,6.0,359692.0,386.3501611171,377.0,179.0,Sulu,130.25154004106776,98.69917864476386,1.48870636550308,0.331622176591375,3.575975359342916,9.634496919917863,1.471766223335857,192.9952658284055,57.0,70.0,4.0,3.0,1766.0
3347,1,3126,658,0.0367967789,0,54,0.9,0.0,1.0,1.0,1,1.0,6.0,10.0,10.0,10.0,8.0,8.0,8.0,2.0,2.0,2.0,16.0,16.0,16.0,2308.0,2308.0,2308.0,1.0,Sulu,106.0,100.0,2.0,0.0,6.0,4.0,1.0,614.8939023847918,335.0,167.0,103.0,64.0,3660.0
3348,1,2196,161,0.0098748773,0,40,0.4210526316,1.0,1.0,1.0,1,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,1711.0,1711.0,1711.0,2.0,Sulu,53.5,41.5,1.5,0.0,5.25,3.75,1.25,163.6927126941159,335.0,167.0,103.0,64.0,2730.0
3349,0,3113,632,0.0354002128,0,35,0.7954545455,0.0,1.0,1.0,1,5.0,21.0,19.0,3.8,5.0,6.0,1.2,1.0,5.0,1.0,1.0,114.0,22.8,20.0,11830.0,2366.0,2572.0,0.0,Sulu,152.75,146.5,0.0,0.0,3.0,3.5,1.25,717.0241949796989,335.0,167.0,103.0,64.0,3647.0
3350,0,-57,42,0.1590909091,0,42,0.1834061135,0.3684210526,0.8421052632,0.3157894737,0,15.0,1.0,290.0,19.3333333333,16.0,8.0,2.6666666667000003,2.0,18.0,1.2,1.0,20.0,1.3333333333,1.0,0.0,0.0,0.0,0.0,Sulu,145.0,121.66666666666669,2.333333333333333,0.333333333333333,5.333333333333333,15.0,2.952380952380952,832.8186914703809,112.0,46.0,2.0,6.0,546.0
3353,0,497,155,0.0153101541,0,59,0.1018998273,1.0,1.0,1.0,0,1.0,0.0,48.0,48.0,48.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sulu,29.0,25.0,0.0,0.0,2.0,3.0,1.5,106.4690726437585,3.0,13.0,3.0,8.0,573.0
3354,0,395,3290,0.3679677888,0,313,0.3660818713,1.0,1.0,1.0,1,1.0,6.0,13.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,296.0,296.0,296.0,385.0,385.0,385.0,0.0,Sulu,2303.0,1875.0,0.0,0.0,48.0,248.0,3.711864406779661,502.0558966212871,112.0,46.0,2.0,6.0,998.0
3357,0,985,1082,0.0745538483,0,18,0.2368421053,0.9130434783,1.0,1.0,1,9.0,21.0,58.0,6.4444444444,1.0,20.0,2.2222222222,1.0,11.0,2.75,2.0,2693.0,299.2222222222,280.0,7031.0,781.2222222222,1069.0,4.0,Sulu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.0,70.0,4.0,3.0,2111.0
3360,0,984,3562,0.2455704929,0,15,0.2142857143,0.40625,1.0,0.9375,1,3.0,4.0,36.0,12.0,3.0,6.0,3.0,3.0,5.0,1.6666666667,2.0,58.0,19.3333333333,16.0,1289.0,429.6666666667,442.0,1.0,Sulu,259.0,194.0,1.333333333333333,0.0,12.666666666666666,17.666666666666668,1.428571428571428,210.0929844504876,112.0,46.0,2.0,6.0,1587.0
3361,0,101,780,0.3759036145,0,139,0.5072992701,0.4,0.4,0.4,1,2.0,4.0,46.0,23.0,23.0,35.0,17.5,17.5,15.0,7.5,7.5,93.0,46.5,46.5,182.0,91.0,91.0,0.0,Sulu,542.0,449.3333333333333,2.0,0.0,10.0,25.666666666666668,1.075268817204301,308.9153877839211,112.0,46.0,2.0,6.0,705.0
3365,0,635,223,0.0190908313,0,16,0.0353982301,0.0,1.0,1.0,0,1.0,7.0,89.0,89.0,89.0,55.0,55.0,55.0,5.0,5.0,5.0,49.0,49.0,49.0,379.0,379.0,379.0,0.0,Sulu,405.0,301.0,2.0,0.0,7.0,50.0,4.083333333333333,388.47088468750286,3.0,13.0,3.0,8.0,711.0
