Unnamed: 0,is_vulnerable,days_after_creation,past_contributions,ratio_past_contributions,new_author,past_contributions_30_days,ratio_past_contributions_30_days,dmm_unit_size,dmm_unit_complex,dmm_unit_interf,fix,touched_files,past_authors,sum_added_lines,mean_added_lines,med_added_lines,sum_deleted_lines,mean_deleted_lines,med_deleted_lines,sum_hunks,mean_hunks,med_hunks,sum_previous_changes,mean_previous_changes,med_previous_changes,sum_days_since_creation,mean_days_since_creation,med_days_since_creation,nr_of_blacklisted,appname
3541,0,-1521,1175,0.2954488308,0,87,0.6444444444,1.0,0.0,0.0,0,7.0,7.0,6.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,97.0,13.8571428571,16.0,11515.0,1645.0,2596.0,0.0,Tuleap
3542,0,4023,8533,0.1068829461,0,74,0.1522633745,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3543,0,3530,10625,0.1499520154,0,148,0.2418300654,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3544,0,-68,81,0.0075215897,0,77,0.1140740741,1.0,1.0,1.0,0,1.0,8.0,7.0,7.0,7.0,3.0,3.0,3.0,2.0,2.0,2.0,69.0,69.0,69.0,274.0,274.0,274.0,0.0,Tuleap
3545,0,3122,6546,0.1064684547,0,55,0.0832072617,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3546,0,3936,5781,0.073770178,0,81,0.1145685997,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3547,0,2182,3115,0.0784397663,0,107,0.2431818182,1.0,1.0,1.0,1,2.0,15.0,8.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,82.0,41.0,41.0,2509.0,1254.5,1254.5,0.0,Tuleap
3548,0,1035,1369,0.0573235072,0,31,0.1220472441,,,,0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,66.0,66.0,66.0,1530.0,1530.0,1530.0,3.0,Tuleap
3549,0,2763,4182,0.0794015455,0,140,0.1844532279,0.3571428571,0.0,0.0,1,4.0,16.0,22.0,5.5,3.0,19.0,9.5,9.5,8.0,2.0,2.0,64.0,16.0,14.5,9353.0,2338.25,3105.0,0.0,Tuleap
3550,0,2871,7030,0.1254998572,0,346,0.3596673597,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3551,0,4186,12912,0.1570096185,0,24,0.0494845361,,,,1,,,,,,,,,,,,,,,,,,,Tuleap
3552,0,3647,11227,0.1532445197,0,110,0.2182539683,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3553,0,2221,3851,0.0944381774,0,62,0.0680570801,0.3333333333,0.0,0.3333333333,0,2.0,30.0,12.0,6.0,6.0,2.0,2.0,2.0,3.0,1.5,1.5,452.0,226.0,226.0,5671.0,2835.5,2835.5,0.0,Tuleap
